,X,player.x,pos.x,age.x,tm.x,g.x,mp.x,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,obpm,dbpm,bpm,vorp,mp.y,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,efgpercent,ftpercent,pts,FGM_0_5,FGA_0_5,FGP_0_5,FGM_5_9,FGA_5_9,FGP_5_9,FGM_10_14,FGA_10_14,FGP_10_14,FGM_15_19,FGA_15_19,FGP_15_19,FGM_20_24,FGA_20_24,FGP_20_24,FGM_25_29,FGA_25_29,FGP_25_29
257,257,Terry Rozier,PG,23,BOS,80,2068,15.1,0.52,0.503,0.186,3.4,16.3,9.9,17.5,1.9,0.8,8.5,20.4,2.2,3.4,5.6,0.8,1,1.8,2,25.9,4,10,0.395,1.9,5,0.381,2,5,0.41,0.491,0.772,11.3,1.1,2.3,48.4,0.2,0.7,31.6,0.2,0.6,33.3,0.4,1,37.3,0.7,1.9,35.7,1.3,3.2,40.2
258,258,Ricky Rubio,PG,27,UTA,77,2254,15.4,0.537,0.33,0.307,2.2,15.3,8.8,28.4,2.7,0.4,18.1,22.9,1.5,3.8,5.3,0.1,1.6,1.7,2.1,29.3,4.5,10.7,0.418,1.2,3.5,0.352,3.2,7.2,0.451,0.476,0.866,13.1,1.1,2.2,49.7,0.2,0.6,28.3,0.6,1.4,46.2,1.1,2.4,44.3,0.9,2.4,36.9,0.6,1.7,37.7
259,259,D'Angelo Russell,PG,21,BRK,48,1234,15.2,0.509,0.414,0.195,2.6,13.8,8.1,35.7,1.4,1,16.8,30.8,-0.5,0.9,0.4,0.8,-1.2,-0.4,0.5,25.7,5.8,14,0.414,1.9,5.8,0.324,3.9,8.2,0.477,0.481,0.74,15.5,1.7,3,56.9,0.6,1.7,34.6,0.6,1.4,44.9,0.8,1.5,51.4,0.7,2.1,33,1.4,4.1,33.2
260,260,Domantas Sabonis,C,21,IND,74,1810,17.5,0.567,0.056,0.339,10.4,25.2,17.8,12.7,1.1,1.6,15.3,22.1,2.5,2.2,4.7,-0.8,0.5,-0.3,0.8,24.5,4.6,8.9,0.514,0.2,0.5,0.351,4.4,8.4,0.524,0.524,0.75,11.6,3.1,4.9,61.9,0.5,1.3,41.5,0.3,0.7,41.2,0.4,1,35.6,0.2,0.6,38.3,0.1,0.4,33.3
261,261,Dario Šaric,PF,23,PHI,78,2310,15.8,0.582,0.448,0.233,7.5,16.4,12.1,13,1.1,0.7,13.1,20.9,3.8,2.8,6.6,1.6,-0.2,1.4,2,29.6,5.2,11.4,0.453,2,5.1,0.393,3.2,6.3,0.501,0.541,0.86,14.6,2.2,3.6,62.1,0.3,0.9,35.2,0.1,0.4,32.1,0.3,1,34.2,0.6,1.5,39.7,1.6,4.1,38.7
262,262,Tomáš Satoranský,SG,26,WAS,73,1643,15.4,0.615,0.263,0.25,5,11.1,8,24.8,1.6,0.8,16.3,13.7,3.7,1.3,5,1.3,-0.2,1.1,1.3,22.5,2.8,5.3,0.523,0.6,1.4,0.465,2.1,3.9,0.544,0.585,0.781,7.2,1.2,1.8,63.2,0.4,0.8,56.4,0.2,0.5,42.5,0.3,0.6,42.9,0.4,0.9,43.8,0.3,0.6,48.9
263,263,Dennis Schröder,PG,24,ATL,67,2078,17.3,0.515,0.229,0.231,2.4,8.8,5.6,36.2,1.7,0.2,12.7,30.4,1.5,1,2.6,1.5,-2.2,-0.7,0.7,31,7.5,17.1,0.436,1.1,3.9,0.29,6.3,13.2,0.48,0.469,0.849,19.4,3.2,6,52.7,0.4,1.1,37,0.9,2,42.2,1.6,3.3,47.7,0.8,2.3,32.9,0.7,2.2,30.6
264,264,Mike Scott,PF,29,WAS,76,1406,13.6,0.599,0.311,0.145,4,15.8,9.9,9.1,0.8,0.6,12.4,20,1.4,1,2.5,-0.5,-1.8,-2.3,-0.1,18.5,3.6,6.9,0.527,0.9,2.1,0.405,2.8,4.8,0.582,0.59,0.658,8.8,1,1.5,65.8,0.4,0.9,47.2,0.6,1,60.8,0.6,1.2,55.1,0.4,0.9,42,0.6,1.3,41.6
265,265,Thabo Sefolosha,SF,33,UTA,38,806,15.8,0.591,0.35,0.225,4.1,18.4,11.3,6.3,3.2,1.3,10.2,16.4,1,1.6,2.6,-0.3,2.3,1.9,0.8,21.2,3.1,6.3,0.492,0.8,2.2,0.381,2.3,4.1,0.551,0.558,0.815,8.2,1.6,2.4,66.7,0.1,0.4,25,0.2,0.6,40.9,0.1,0.3,33.3,0.8,2,41.6,0.2,0.5,35
266,266,Wayne Selden,SG,23,MEM,35,692,11.8,0.551,0.454,0.219,2.6,6.8,4.7,16,1.3,0.7,15.5,22.6,0.1,0.2,0.3,-0.7,-3.3,-4,-0.4,19.8,3.3,7.7,0.431,1.4,3.5,0.402,1.9,4.2,0.456,0.522,0.746,9.3,1,1.9,52.2,0.3,1,30.6,0.2,0.6,40,0.3,0.5,57.9,0.5,1.3,36.2,1,2.2,43.6
